epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17493.4,0.79599,2.43188,0.23589,0.39324,0.01357,1.27642,0.97392,0.97502,0.99094,0.89819,0.89237,0.87027,0.89812,0.77874,0.55667,1.4457,0.06987,0.21023,0.01213,0,0.0213261,0.0071087,0.0213261,0.0071087,0.0213261,0.0071087,0.0213261,0.0071087
31,17959.2,0.78694,2.42079,0.23738,0.37681,0.01353,1.22302,0.97504,0.97575,0.99118,0.9003,0.89805,0.87422,0.90523,0.78754,0.55629,1.42178,0.07055,0.2073,0.01211,0,0.021027,0.007009,0.021027,0.007009,0.021027,0.007009,0.021027,0.007009
32,18422.8,0.79022,2.40443,0.23781,0.38459,0.01366,1.2702,0.97551,0.97311,0.99106,0.90058,0.90067,0.87359,0.90593,0.78971,0.55004,1.40799,0.06966,0.20865,0.01193,0,0.0207279,0.0069093,0.0207279,0.0069093,0.0207279,0.0069093,0.0207279,0.0069093
33,18883.8,0.79002,2.36369,0.23204,0.37622,0.01347,1.11628,0.97607,0.97191,0.99088,0.90207,0.90498,0.88199,0.91206,0.79607,0.54723,1.37583,0.06934,0.20557,0.01186,0,0.0204288,0.0068096,0.0204288,0.0068096,0.0204288,0.0068096,0.0204288,0.0068096
34,19342.8,0.77226,2.32986,0.23461,0.37326,0.01321,1.05216,0.97723,0.97353,0.99118,0.90413,0.91351,0.88403,0.91589,0.79949,0.5438,1.35553,0.06807,0.20143,0.01177,0,0.0201297,0.0067099,0.0201297,0.0067099,0.0201297,0.0067099,0.0201297,0.0067099
35,19804.9,0.76178,2.24832,0.22864,0.35723,0.01307,0.93192,0.97368,0.97592,0.99105,0.90469,0.90817,0.88347,0.9146,0.79984,0.53917,1.35423,0.06808,0.20366,0.01167,0,0.0198306,0.0066102,0.0198306,0.0066102,0.0198306,0.0066102,0.0198306,0.0066102
36,20284.1,0.76056,2.2577,0.23037,0.36053,0.01315,0.94802,0.97621,0.97277,0.99095,0.9046,0.90622,0.88541,0.91364,0.79993,0.53585,1.34788,0.06765,0.20222,0.01161,0,0.0195315,0.0065105,0.0195315,0.0065105,0.0195315,0.0065105,0.0195315,0.0065105
37,20757.9,0.76796,2.27467,0.22588,0.36152,0.01311,0.93787,0.97489,0.97668,0.99108,0.90638,0.90368,0.88684,0.91442,0.80141,0.53227,1.34136,0.06749,0.19929,0.0115,0,0.0192324,0.0064108,0.0192324,0.0064108,0.0192324,0.0064108,0.0192324,0.0064108
38,21221.3,0.74986,2.19185,0.22526,0.36196,0.01275,0.76461,0.97535,0.9763,0.99129,0.90704,0.90854,0.88235,0.91392,0.80153,0.52846,1.34,0.06668,0.19782,0.01139,0,0.0189333,0.0063111,0.0189333,0.0063111,0.0189333,0.0063111,0.0189333,0.0063111
39,21678,0.75679,2.2445,0.22836,0.36017,0.01287,0.92043,0.97742,0.97643,0.99136,0.9081,0.90843,0.88499,0.9143,0.80286,0.52538,1.33727,0.06623,0.19652,0.01131,0,0.0186342,0.0062114,0.0186342,0.0062114,0.0186342,0.0062114,0.0186342,0.0062114
